Time,Status
0 days 00:00:09.437000,Inactive
0 days 00:33:15.688000,Started
0 days 01:27:40.602000,Aborted
0 days 01:55:00.107000,Started
0 days 02:35:50.505000,Finished
0 days 02:41:18.243000,Finalised
0 days 02:41:18.243000,Ends
