Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:05:00.728000,2,Yellow
0 days 00:05:07.931000,1,AllClear
0 days 00:11:22.236000,2,Yellow
0 days 00:12:05.735000,1,AllClear
0 days 00:13:14.953000,2,Yellow
0 days 00:13:29.625000,1,AllClear
0 days 01:04:04.913000,2,Yellow
0 days 01:04:22.382000,1,AllClear
0 days 01:20:00.630000,2,Yellow
0 days 01:20:08.130000,1,AllClear
0 days 01:20:22.927000,2,Yellow
0 days 01:21:22.441000,4,SCDeployed
0 days 01:28:42.308000,1,AllClear
0 days 01:34:43.021000,2,Yellow
0 days 01:34:44.208000,1,AllClear
0 days 02:31:24.334000,2,Yellow
0 days 02:31:26.428000,1,AllClear
