Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 00:14:48.834000,2,Yellow
0 days 00:14:50.817000,1,AllClear
0 days 00:18:44.585000,2,Yellow
0 days 00:19:13.527000,4,SCDeployed
0 days 00:29:34.490000,1,AllClear
0 days 01:42:18.720000,2,Yellow
0 days 01:45:13.546000,1,AllClear
