X,Y,Number,Letter,Angle,Distance,Type,Rotation
1192.50830078125,4503.826171875,1,,98.4899241531774,501.6568258288039,corners,92.0
2770.315185546875,4462.89208984375,2,,-78.03462987143243,677.2939667327137,corners,92.0
4845.322265625,5895.13037109375,3,,98.2555451956151,884.0390447070887,corners,92.0
5802.7041015625,4733.5244140625,4,,-75.86392528573197,1043.3622112743178,corners,92.0
6232.291015625,6458.9794921875,5,,19.10473024407218,1241.541135272577,corners,92.0
631.385986328125,10910.232421875,6,,108.3056633014727,1980.1069024862738,corners,92.0
-566.2516479492188,9540.3837890625,7,,-130.008186597324,2198.1282012124643,corners,92.0
761.3385620117188,12361.55859375,8,,122.63389803912163,2544.5984884523355,corners,92.0
5893.8935546875,12947.2099609375,9,,59.40549721836916,3066.9979643698193,corners,92.0
7295.830078125,7780.4658203125,10,,-159.3327248044901,3616.854210405391,corners,92.0
7534.9931640625,6906.171875,11,,-0.7521081230510966,3713.3908524872077,corners,92.0
7336.6962890625,5474.73486328125,12,,6.130680887505708,3868.646572822823,corners,92.0
7776.478515625,4163.52197265625,13,,-11.177492704699338,4008.5605178822184,corners,92.0
6806.81005859375,3146.68896484375,14,,131.62596056517813,4184.104739066477,corners,92.0
2398.9521484375,-4099.2412109375,15,,-81.47941394640335,5020.303763839046,corners,92.0
-620.4287109375,-993.7661743164062,16,,61.329159623640706,5467.185286790373,corners,92.0
-1438.0526123046875,-1146.76318359375,17,,-79.86563689483886,5574.365946673656,corners,92.0
-2309.334228515625,-105.71966552734375,18,,-178.56504718884855,5711.564926189314,corners,92.0
-1754.1448974609375,1212.111572265625,1,,142.51867961329444,38.46038262582797,lights,92.0
-354.9889831542969,3128.5166015625,2,,146.19623871111293,275.15715176534604,lights,92.0
4249.515625,5490.2900390625,3,,132.9276866347228,828.7843565151501,lights,92.0
5518.68603515625,4895.642578125,4,,-141.67515815912355,1009.257761390166,lights,92.0
6325.42236328125,6055.65966796875,5,,7.715932496265007,1202.889093078024,lights,92.0
4190.66015625,8434.7197265625,6,,49.447055817041154,1540.902507264606,lights,92.0
2136.81591796875,10232.525390625,7,,48.02650132294714,1826.154364496663,lights,92.0
-363.476318359375,9443.9580078125,8,,-95.62700580730365,2166.9706070108778,lights,92.0
449.18212890625,12139.1630859375,9,,128.03826155329332,2499.440406730285,lights,92.0
4559.4599609375,13055.90234375,10,,97.28958855867084,2933.7298976890106,lights,92.0
7001.40283203125,9018.6748046875,11,,3.9134503245475893,3492.5980343584974,lights,92.0
7368.25146484375,5318.61962890625,12,,-164.07225984248083,3888.6619197771174,lights,92.0
7176.28515625,3379.65625,13,,-60.644790895291514,4120.660042503377,lights,92.0
5777.72607421875,1547.4078369140625,14,,154.27365992365168,4344.352073598826,lights,92.0
4102.0478515625,-1911.3116455078125,15,,-26.072989934489286,4737.61642964416,lights,92.0
366.182861328125,-2090.215576171875,16,,36.30712861735109,5347.367918884182,lights,92.0
-2065.694091796875,-797.4539794921875,17,,-141.67608107494343,5656.942026090424,lights,92.0
-1756.0,1208.0,1,,155.9148058729058,38.46038262582797,sectors,92.0
-339.7966003417969,3151.30517578125,2,,146.4869655800875,275.15715176534604,sectors,92.0
4222.619140625,5465.5888671875,3,,132.63111037443946,828.7843565151501,sectors,92.0
5544.375,4863.5849609375,4,,-138.771225590626,1016.2858434083713,sectors,92.0
6326.04541015625,6051.140625,5,,5.131784401836151,1202.889093078024,sectors,92.0
4128.24462890625,8488.154296875,6,,49.18693925589212,1566.5439282944285,sectors,92.0
2014.0667724609375,10341.77734375,7,,48.319660801958854,1851.1749548584157,sectors,92.0
-354.3772888183594,9443.2197265625,8,,-94.46139220665485,2166.9706070108778,sectors,92.0
262.9848327636719,11977.8037109375,9,,133.07260797876455,2477.3330553374044,sectors,92.0
4468.9462890625,13043.990234375,10,,98.18856032578559,2908.573015615284,sectors,92.0
6999.00537109375,9055.115234375,11,,3.8699422974565167,3492.5980343584974,sectors,92.0
7378.2841796875,5283.50537109375,12,,-160.40381419077656,3908.3856331538536,sectors,92.0
5799.56005859375,1592.628173828125,13,,154.73682390032127,4344.352073598826,sectors,92.0
4077.73046875,-1960.39453125,14,,-26.673790475746852,4737.61642964416,sectors,92.0
305.447021484375,-2010.244384765625,15,,37.336923544076114,5347.367918884182,sectors,92.0
-2051.55126953125,-815.3683471679688,16,,-141.70097120074337,5656.942026090424,sectors,92.0
