Time,Status,Message
0 days 00:56:48.669000,2,Yellow
0 days 00:56:55.543000,1,AllClear
0 days 00:56:56.675000,2,Yellow
0 days 00:57:01.660000,1,AllClear
0 days 00:58:51.111000,4,SCDeployed
0 days 01:08:59.294000,1,AllClear
0 days 01:22:07.472000,2,Yellow
0 days 01:22:15.100000,1,AllClear
