Time,Status,Message
0 days 00:00:00,1,AllClear
0 days 01:40:06.247000,2,Yellow
0 days 01:40:47.317000,1,AllClear
0 days 01:55:03.019000,6,VSCDeployed
0 days 01:57:53.608000,7,VSCEnding
0 days 01:58:06.176000,1,AllClear
0 days 02:20:38.379000,2,Yellow
0 days 02:20:54.313000,4,SCDeployed
0 days 02:31:02.298000,1,AllClear
