Time,Status,Message
0 days 00:02:08.769000,1,AllClear
0 days 01:33:01.398000,2,Yellow
0 days 01:33:11.895000,1,AllClear
0 days 02:05:28.249000,2,Yellow
0 days 02:05:28.608000,6,VSCDeployed
0 days 02:06:49.739000,4,SCDeployed
0 days 02:19:42.516000,1,AllClear
0 days 02:20:09.086000,2,Yellow
0 days 02:20:10.661000,1,AllClear
0 days 02:31:02.228000,2,Yellow
0 days 02:31:09.097000,1,AllClear
0 days 02:34:58.268000,2,Yellow
0 days 02:34:59.877000,1,AllClear
