Time,Status
0 days 00:00:06.950000,Inactive
0 days 00:33:25.335000,Started
0 days 00:49:34.257000,Aborted
0 days 01:15:00.042000,Started
0 days 02:09:44.274000,Aborted
0 days 02:32:00.029000,Started
0 days 02:53:00.577000,Finished
0 days 02:56:13.852000,Finalised
0 days 02:56:13.852000,Ends
