Time,Status,Message
0 days 00:10:31.151000,1,AllClear
0 days 01:02:11.953000,2,Yellow
0 days 01:02:17.938000,1,AllClear
0 days 01:02:55.281000,4,SCDeployed
0 days 01:06:45.308000,1,AllClear
0 days 01:18:35.546000,2,Yellow
0 days 01:19:51.372000,6,VSCDeployed
0 days 01:21:58.635000,7,VSCEnding
0 days 01:22:10.620000,1,AllClear
