Time,Status,Message
0 days 00:13:30.735000,1,AllClear
0 days 01:02:34.787000,2,Yellow
0 days 01:02:44.831000,4,SCDeployed
0 days 01:12:52.027000,1,AllClear
0 days 01:13:49.890000,2,Yellow
0 days 01:14:01.337000,1,AllClear
0 days 02:11:42.913000,2,Yellow
0 days 02:12:45.520000,6,VSCDeployed
0 days 02:15:23.432000,4,SCDeployed
0 days 02:25:12.153000,1,AllClear
