Time,Status
0 days 00:00:08.822000,Inactive
0 days 01:02:16.093000,Started
0 days 01:02:37.857000,Aborted
0 days 01:55:00.091000,Started
0 days 03:20:06.587000,Finished
0 days 03:23:19.140000,Finalised
0 days 03:28:25.525000,Ends
