Time,Status,Message
0 days 00:08:06.272000,1,AllClear
0 days 00:33:37.039000,2,Yellow
0 days 00:33:40.003000,1,AllClear
0 days 00:37:05.594000,2,Yellow
0 days 00:37:09.759000,1,AllClear
0 days 00:41:34.800000,2,Yellow
0 days 00:41:55.548000,1,AllClear
0 days 01:12:57.265000,2,Yellow
0 days 01:13:27.092000,6,VSCDeployed
0 days 01:14:08.119000,7,VSCEnding
0 days 01:14:20.568000,1,AllClear
0 days 01:16:17.115000,2,Yellow
0 days 01:16:30.375000,6,VSCDeployed
0 days 01:17:34.771000,7,VSCEnding
0 days 01:17:49.029000,1,AllClear
