X,Y,Number,Letter,Angle,Distance,Type,Rotation
3314.213623046875,-1317.8548583984375,1,,-165.7042232224879,220.75293367133395,corners,62.0
3856.566650390625,-2073.48876953125,2,,-22.292628506519133,319.60272061528605,corners,62.0
740.00048828125,-608.991943359375,3,,-158.88211146259871,687.0316504600926,corners,62.0
746.3623046875,-42.99305725097656,4,,10.981968146091017,746.3427713403646,corners,62.0
-724.0447387695312,1618.9674072265625,5,,29.69970797495177,973.7579800023212,corners,62.0
-993.9166259765625,3790.888671875,6,,27.68189480956655,1190.9829914374357,corners,62.0
-1783.8714599609375,4016.30078125,7,,-117.80501466388415,1282.8470968758054,corners,62.0
-1785.4404296875,10539.7060546875,8,,118.5937331062827,1962.4491196919319,corners,62.0
-1140.2919921875,10976.314453125,9,,-28.30519809467008,2050.0274070432583,corners,62.0
-711.50537109375,16759.564453125,10,,97.79649538436189,2642.493831650618,corners,62.0
-374.8269958496094,15840.400390625,11,,9.36772122115067,2740.564758570669,corners,62.0
975.87255859375,12421.1728515625,12,,-161.17004277640703,3111.2923610636076,corners,62.0
2586.933349609375,5440.8330078125,13,,-21.168127295710576,3825.060055717185,corners,62.0
2435.436279296875,5153.82958984375,14,,157.077799192522,3860.085122335897,corners,62.0
3353.0,920.0,1,,12.894578202379641,4295.646115492851,lights,62.0
3498.90283203125,-2272.3466796875,2,,-88.32989817544153,368.9070994385131,lights,62.0
1662.2669677734375,-1507.206298828125,3,,-128.27566231965025,572.7705025605827,lights,62.0
677.2483520507812,125.60184478759766,4,,28.002158650512413,764.8707738813864,lights,62.0
-774.033935546875,1715.0845947265625,5,,-158.15847537256528,994.9859064246136,lights,62.0
-924.5342407226562,3112.103759765625,6,,-3.2830471080031276,1131.422574821665,lights,62.0
-2157.23095703125,4442.89794921875,7,,-157.39499215981778,1346.1255853546463,lights,62.0
-2445.88525390625,7373.7392578125,8,,178.7952462699762,1629.7295856593073,lights,62.0
-2088.798095703125,9766.3857421875,9,,166.30887601711618,1869.153792249326,lights,62.0
-975.0516967773438,11434.00390625,10,,-14.753596828251151,2091.246732714755,lights,62.0
-635.7164916992188,15341.7001953125,11,,-167.8728705098132,2486.4739119980954,lights,62.0
-207.7078399658203,15280.560546875,12,,22.616629788231453,2806.8811159811735,lights,62.0
1093.7620849609375,12049.96875,13,,-163.63569841304485,3152.3636158120203,lights,62.0
2325.310546875,6894.85595703125,14,,13.55715916546403,3702.637616970669,lights,62.0
2476.053955078125,4359.74658203125,15,,-165.41445259301378,3942.346942697126,lights,62.0
3353.0,920.0,1,,12.449547376071568,4295.646115492851,sectors,62.0
3515.829833984375,-2271.81787109375,2,,-88.06684494752612,361.4267817068116,sectors,62.0
1691.74853515625,-1529.987548828125,3,,-127.7964021814815,554.2870499668436,sectors,62.0
610.7792358398438,219.52816772460938,4,,38.20509169993323,773.2250698931878,sectors,62.0
-800.5307006835938,1781.093994140625,5,,-158.2263006994478,994.9859064246136,sectors,62.0
-924.1455688476562,3118.8671875,6,,-3.327263401220419,1131.422574821665,sectors,62.0
-2150.709228515625,4427.2685546875,7,,-157.35099060339786,1346.1255853546463,sectors,62.0
-2446.911376953125,7329.7177734375,8,,178.7683744097345,1629.7295856593073,sectors,62.0
-2148.736083984375,9516.0556640625,9,,166.63597341117227,1852.3085752681186,sectors,62.0
-992.2911376953125,11368.494140625,10,,-14.678034180937459,2081.4430065940996,sectors,62.0
-618.0419921875,15255.431640625,11,,-170.15301008652187,2486.4739119980954,sectors,62.0
-215.56005859375,15299.3046875,12,,22.633457632378306,2806.8811159811735,sectors,62.0
1076.7451171875,12104.9765625,13,,-161.929117459309,3152.3636158120203,sectors,62.0
2311.971435546875,6950.87158203125,14,,13.294184941856068,3702.637616970669,sectors,62.0
2477.773681640625,4353.1953125,15,,-165.31987761834608,3942.346942697126,sectors,62.0
